archivo,folio,pagina,numero,esperada,marcada,acierto,confianza,estadoAnalisis,calidadPagina,templateVersion
1770215756348.jpg,EDCD030C,1,1,B,,false,0,N/A_OFFLINE_METADATA,N/A,N/A
1770215756348.jpg,EDCD030C,1,2,A,E,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756348.jpg,EDCD030C,1,3,E,E,true,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756348.jpg,EDCD030C,1,4,E,E,true,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756348.jpg,EDCD030C,1,5,B,A,false,0.9533,N/A_OFFLINE_METADATA,N/A,N/A
1770215756348.jpg,EDCD030C,1,6,B,,false,0,N/A_OFFLINE_METADATA,N/A,N/A
1770215756348.jpg,EDCD030C,1,7,D,A,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756460.jpg,364207B6,2,8,C,A,false,0.7259,N/A_OFFLINE_METADATA,N/A,N/A
1770215756460.jpg,364207B6,2,9,B,E,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756460.jpg,364207B6,2,10,E,E,true,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756460.jpg,364207B6,2,11,C,B,false,0.264,N/A_OFFLINE_METADATA,N/A,N/A
1770215756460.jpg,364207B6,2,12,A,A,true,0.7356,N/A_OFFLINE_METADATA,N/A,N/A
1770215756460.jpg,364207B6,2,13,D,E,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756460.jpg,364207B6,2,14,D,E,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756460.jpg,364207B6,2,15,C,D,false,0.6361,N/A_OFFLINE_METADATA,N/A,N/A
1770215756614.jpg,24255CF0,1,1,E,A,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756614.jpg,24255CF0,1,2,A,A,true,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756614.jpg,24255CF0,1,3,D,B,false,0.379,N/A_OFFLINE_METADATA,N/A,N/A
1770215756614.jpg,24255CF0,1,4,B,A,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756614.jpg,24255CF0,1,5,E,A,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756614.jpg,24255CF0,1,6,E,A,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756614.jpg,24255CF0,1,7,B,E,false,0.3792,N/A_OFFLINE_METADATA,N/A,N/A
1770215756699.jpg,364207B6,1,1,C,E,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756699.jpg,364207B6,1,2,A,C,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756699.jpg,364207B6,1,3,C,,false,0,N/A_OFFLINE_METADATA,N/A,N/A
1770215756699.jpg,364207B6,1,4,E,E,true,0.7403,N/A_OFFLINE_METADATA,N/A,N/A
1770215756699.jpg,364207B6,1,5,A,,false,0,N/A_OFFLINE_METADATA,N/A,N/A
1770215756699.jpg,364207B6,1,6,D,,false,0,N/A_OFFLINE_METADATA,N/A,N/A
1770215756699.jpg,364207B6,1,7,B,,false,0,N/A_OFFLINE_METADATA,N/A,N/A
1770215756767.jpg,41E11592,1,1,C,A,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756767.jpg,41E11592,1,2,E,B,false,0.3667,N/A_OFFLINE_METADATA,N/A,N/A
1770215756767.jpg,41E11592,1,3,C,C,true,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756767.jpg,41E11592,1,4,E,B,false,0.3559,N/A_OFFLINE_METADATA,N/A,N/A
1770215756767.jpg,41E11592,1,5,D,A,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756767.jpg,41E11592,1,6,A,A,true,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756767.jpg,41E11592,1,7,E,A,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756923.jpg,EDCD030C,2,8,A,,false,0,N/A_OFFLINE_METADATA,N/A,N/A
1770215756923.jpg,EDCD030C,2,9,E,E,true,0.6718,N/A_OFFLINE_METADATA,N/A,N/A
1770215756923.jpg,EDCD030C,2,10,C,E,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756923.jpg,EDCD030C,2,11,E,E,true,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756923.jpg,EDCD030C,2,12,A,,false,0,N/A_OFFLINE_METADATA,N/A,N/A
1770215756923.jpg,EDCD030C,2,13,C,E,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756923.jpg,EDCD030C,2,14,B,C,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215756923.jpg,EDCD030C,2,15,D,D,true,0.6273,N/A_OFFLINE_METADATA,N/A,N/A
1770215757000.jpg,44FB6D76,2,8,A,E,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215757000.jpg,44FB6D76,2,9,D,E,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215757000.jpg,44FB6D76,2,10,D,C,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215757000.jpg,44FB6D76,2,11,C,A,false,0.697,N/A_OFFLINE_METADATA,N/A,N/A
1770215757000.jpg,44FB6D76,2,12,C,A,false,0.7464,N/A_OFFLINE_METADATA,N/A,N/A
1770215757000.jpg,44FB6D76,2,13,C,C,true,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215757000.jpg,44FB6D76,2,14,D,C,false,0.3287,N/A_OFFLINE_METADATA,N/A,N/A
1770215757000.jpg,44FB6D76,2,15,B,E,false,0.3514,N/A_OFFLINE_METADATA,N/A,N/A
1770215757334.jpg,4ABDD6B5,1,1,B,E,false,0.3126,N/A_OFFLINE_METADATA,N/A,N/A
1770215757334.jpg,4ABDD6B5,1,2,E,B,false,0.9754,N/A_OFFLINE_METADATA,N/A,N/A
1770215757334.jpg,4ABDD6B5,1,3,A,E,false,1,N/A_OFFLINE_METADATA,N/A,N/A
1770215757334.jpg,4ABDD6B5,1,4,C,B,false,0.3464,N/A_OFFLINE_METADATA,N/A,N/A
1770215757334.jpg,4ABDD6B5,1,5,E,,false,0,N/A_OFFLINE_METADATA,N/A,N/A
1770215757334.jpg,4ABDD6B5,1,6,E,B,false,0.3981,N/A_OFFLINE_METADATA,N/A,N/A
1770215757334.jpg,4ABDD6B5,1,7,E,A,false,1,N/A_OFFLINE_METADATA,N/A,N/A